video_id,trend_r2,smoothness,rhythm_strength,cycle_score,pause_ratio,segment_count,speed_entropy,direction_consistency,dir_hist_entropy,mean_speed,speed_std
"Apple - Wonderful Tools (60fps) - David (1080p, h264, youtube)_part000",0.006159377836152169,2.429111394417786,0.01749121162806004,2.6124700955226263,0.3130148270181219,15,0.49279508114337894,0.5038733389882304,2.9880906189532697,0.20297491550445557,0.520740807056427
"Apple - Wonderful Tools (60fps) - David (1080p, h264, youtube)_part001",0.004362120270484882,18.62106005819268,0.05548723725026337,2.729602361119978,0.16474464579901152,11,1.397982791276383,0.5052333944509578,2.9471634090199834,0.1347738802433014,0.19317950308322906
"Apple - Wonderful Tools (60fps) - David (1080p, h264, youtube)_part002",0.19826091794342426,6.298044477501184,0.13656656234784695,4.000918168266425,0.37623762376237624,5,1.5655445980364284,0.5246452706867534,3.05285980130386,0.5269001126289368,0.9465734362602234
"Apple - Wonderful Tools (60fps) - David (1080p, h264, youtube)_part003",0.00011161150973859613,5.325069067600534,0.024810919256983505,3.0132153522446368,0.14662273476112025,13,0.9032366362384184,0.5048588422831746,3.035613634502356,0.15315386652946472,0.21056999266147614
"Apple - Wonderful Tools (60fps) - David (1080p, h264, youtube)_part004",0.1021523322367952,3.512845166310602,0.13644939083561633,2.0623822591814345,0.5379537953795379,1,1.2315629395207848,0.49787213699886423,3.074465002557316,0.5109913349151611,1.0199170112609863
"Apple - Wonderful Tools (60fps) - David (1080p, h264, youtube)_part005",0.010553680356650275,1.0766773614169736,0.020375830819976782,2.224319585714525,0.4464579901153213,20,0.5757115031632697,0.5081486467300036,2.936360444510001,0.310966819524765,0.9830910563468933
"Apple - Wonderful Tools (60fps) - David (1080p, h264, youtube)_part006",0.09677174103898012,7.639365650793467,0.052221401449958516,2.1641445684764022,0.19110378912685339,27,2.185492003864056,0.5208734664489028,3.233709113407898,0.2900177836418152,0.31555667519569397
"Apple - Wonderful Tools (60fps) - David (1080p, h264, youtube)_part007",0.01133462019302589,40.30672891585355,0.05486990372343751,2.8943779681849913,0.2706270627062706,10,1.2990127036349235,0.47799092283335903,2.6898654142316416,0.04235438257455826,0.06485617905855179
"Apple - Wonderful Tools (60fps) - David (1080p, h264, youtube)_part008",0.012597135398608406,51.045754799706046,0.04910899455099522,2.0982570190300462,0.15485996705107083,12,1.909699437700093,0.4981613551958842,2.7176181756689135,0.036375295370817184,0.040358953177928925
"Apple - Wonderful Tools (60fps) - David (1080p, h264, youtube)_part009",0.04226783954283175,7.274114456472755,0.13979558944373296,2.8737275878738884,0.49174917491749176,2,1.6379684120784814,0.5362720586701255,3.3278324622877995,0.4605517089366913,0.7267366647720337
"Apple - Wonderful Tools (60fps) - David (1080p, h264, youtube)_part010",0.015109684000537027,4.267526456626959,0.024615236482930448,1.9241203779974223,0.3904448105436573,6,0.5151366364080247,0.4907662600344017,2.828648108422331,0.11345085501670837,0.27382582426071167
"Apple - Wonderful Tools (60fps) - David (1080p, h264, youtube)_part011",0.000334502282549054,37.63465716910938,0.010864699457377155,19.011809195573388,0.9834983498349835,8,0.044293235577317645,0.4847090691832295,2.334457253719859,0.0021583379711955786,0.026373518630862236
"Apple - Wonderful Tools (60fps) - David (1080p, h264, youtube)_part012",0.02988840446181351,4968.256945252893,0.024467683200750493,38.87872883152889,0.9409888357256778,1,0.2845980622738168,1.5130170215670444,1.0708996464036638,7.19453819328919e-05,0.0004032996075693518
"Better in Denim. - Gap (1080p, h264, youtube)_part000",0.22082750690925212,0.9016227226885712,0.1271518479124631,1.9439364415764444,0.01568627450980392,7,2.616750114654022,0.6308996561535634,3.531820752326437,7.003474235534668,3.840214252471924
